,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,user
12,0.313,0.824,1,-5.621,1,0.0925,0.000408,0.0512,0.119,0.618,127.036,audio_features,4rGqia9y9o0G9f65TdWA5Y,spotify:track:4rGqia9y9o0G9f65TdWA5Y,https://api.spotify.com/v1/tracks/4rGqia9y9o0G9f65TdWA5Y,https://api.spotify.com/v1/audio-analysis/4rGqia9y9o0G9f65TdWA5Y,205813,4,westinthebest
13,0.51,0.88,6,-4.743,0,0.0418,0.000499,0.00344,0.371,0.786,134.064,audio_features,0DxG8MVe9qRQG1gc7LIObk,spotify:track:0DxG8MVe9qRQG1gc7LIObk,https://api.spotify.com/v1/tracks/0DxG8MVe9qRQG1gc7LIObk,https://api.spotify.com/v1/audio-analysis/0DxG8MVe9qRQG1gc7LIObk,181520,4,westinthebest
14,0.283,0.982,0,-0.32,1,0.0703,0.000204,0.0756,0.0627,0.438,124.149,audio_features,3QJnjJH53Ocg22MaLutrgJ,spotify:track:3QJnjJH53Ocg22MaLutrgJ,https://api.spotify.com/v1/tracks/3QJnjJH53Ocg22MaLutrgJ,https://api.spotify.com/v1/audio-analysis/3QJnjJH53Ocg22MaLutrgJ,231333,4,westinthebest
15,0.683,0.833,8,-3.324,1,0.0595,0.0499,0.000858,0.161,0.537,136.099,audio_features,7rt7ywY9yekwaYXk2Zt4Q5,spotify:track:7rt7ywY9yekwaYXk2Zt4Q5,https://api.spotify.com/v1/tracks/7rt7ywY9yekwaYXk2Zt4Q5,https://api.spotify.com/v1/audio-analysis/7rt7ywY9yekwaYXk2Zt4Q5,189136,4,westinthebest
16,0.652,0.733,9,-6.197,1,0.0395,0.00175,0.0402,0.0533,0.518,141.998,audio_features,4zVBpwpegumZ9inLiyBar1,spotify:track:4zVBpwpegumZ9inLiyBar1,https://api.spotify.com/v1/tracks/4zVBpwpegumZ9inLiyBar1,https://api.spotify.com/v1/audio-analysis/4zVBpwpegumZ9inLiyBar1,224867,4,westinthebest
17,0.618,0.938,9,-3.442,1,0.0456,0.0179,0.0,0.167,0.875,91.455,audio_features,3ZOEytgrvLwQaqXreDs2Jx,spotify:track:3ZOEytgrvLwQaqXreDs2Jx,https://api.spotify.com/v1/tracks/3ZOEytgrvLwQaqXreDs2Jx,https://api.spotify.com/v1/audio-analysis/3ZOEytgrvLwQaqXreDs2Jx,269000,4,westinthebest
18,0.841,0.826,1,-5.131,0,0.0666,0.00633,0.00299,0.0224,0.982,138.043,audio_features,6qirdZqYYhHfHCcUcxL2Ow,spotify:track:6qirdZqYYhHfHCcUcxL2Ow,https://api.spotify.com/v1/tracks/6qirdZqYYhHfHCcUcxL2Ow,https://api.spotify.com/v1/audio-analysis/6qirdZqYYhHfHCcUcxL2Ow,191453,4,westinthebest
19,0.68,0.889,7,-3.728,1,0.0347,0.00356,1.71e-05,0.29,0.733,115.114,audio_features,2VNKQVz4rogyOSt6kg1J4P,spotify:track:2VNKQVz4rogyOSt6kg1J4P,https://api.spotify.com/v1/tracks/2VNKQVz4rogyOSt6kg1J4P,https://api.spotify.com/v1/audio-analysis/2VNKQVz4rogyOSt6kg1J4P,207413,4,westinthebest
0,0.785,0.44,1,-8.182,0,0.178,0.553,0.0,0.103,0.568,80.021,audio_features,6WY88gYhRrnqS4wGtO45TH,spotify:track:6WY88gYhRrnqS4wGtO45TH,https://api.spotify.com/v1/tracks/6WY88gYhRrnqS4wGtO45TH,https://api.spotify.com/v1/audio-analysis/6WY88gYhRrnqS4wGtO45TH,207719,4,isabellamonique
1,0.769,0.387,1,-16.97,1,0.0432,0.835,0.909,0.1,0.588,138.003,audio_features,6lMxGGVsO1JAdzk0z6Q3Rh,spotify:track:6lMxGGVsO1JAdzk0z6Q3Rh,https://api.spotify.com/v1/tracks/6lMxGGVsO1JAdzk0z6Q3Rh,https://api.spotify.com/v1/audio-analysis/6lMxGGVsO1JAdzk0z6Q3Rh,106995,4,isabellamonique
